Nombre,Linea,ano,Ingreso,
TELEFONICA DEL PERU,,1994,1499294000,
TELEFONICA DEL PERU,,1995,2393015000,
TELEFONICA DEL PERU,,1996,3129509000,
TELEFONICA DEL PERU,,1997,3885239000,
BELLSOUTH,,1998,428771466,
NEXTEL,,1998,6288000,
TELECABLE ,,1998,18468246,
TELEFONICA DEL PERU,,1998,3977689216,
BELLSOUTH,,1999,480219653,
GAMACOM  ,,1999,342865,
NEXTEL,,1999,21298000,
TELECABLE ,,1999,15587000,
TELEFONICA DEL PERU,,1999,4361129766,
TELMEX PERU ,,1999,8743777,
AMERICATEL PERU ,,2000,865045,
BELLSOUTH,,2000,447375000,
DIGITAL WAY,,2000,43284,
GAMACOM  ,,2000,606661,
GILAT NETWORKS PERU ,,2000,727443,
NEXTEL,,2000,117240000,
TELECABLE ,,2000,10910900,
TELEFONICA DEL PERU,,2000,3806044000,
TELEFONICA DEL PERU,,2000,804986000,
TELMEX PERU ,,2000,55282128,
AMERICATEL PERU ,,2001,4233897,
BELLSOUTH,,2001,464598056,
CONVERGIA PERU ,,2001,12040,
DIGITAL WAY,,2001,2077896,
GAMACOM  ,,2001,1007057,
GILAT NETWORKS PERU ,,2001,28137333,
IMPSAT,,2001,24379745,
INFODUCTOS Y TELECOMUNICACIONES DEL PERU ,,2001,10001580,
MILLICOM PERU ,,2001,7993119,
NEXTEL,,2001,231835000,
TELECABLE ,,2001,4405241,
TELEFONICA DEL PERU,,2001,3554734626,
TELEFONICA DEL PERU,,2001,195782597,
TELEFONICA DEL PERU,,2001,868646284,
TELMEX PERU ,,2001,122098427,
TESAM PERU,,2001,5225654,
TIM PERU ,,2001,114218651,
AMERICATEL PERU ,,2002,62717646,
BELLSOUTH,,2002,496316838,
CONVERGIA PERU ,,2002,5423104,
DIGITAL WAY,,2002,4808633,
GAMACOM  ,,2002,1671714,
GILAT NETWORKS PERU ,,2002,25611450,
IMPSAT,,2002,39607102,
INFODUCTOS Y TELECOMUNICACIONES DEL PERU ,,2002,9466087,
MILLICOM PERU ,,2002,16813126,
NEXTEL,,2002,297715000,
TELECABLE ,,2002,5071500,
TELEFONICA DEL PERU,,2002,3457083181,
TELEFONICA DEL PERU,,2002,242030392,
TELEFONICA DEL PERU,,2002,935419000,OLO DEL PERU
TELMEX PERU ,,2002,150353683,
TESAM PERU,,2002,7246648,
TIM PERU ,,2002,297932000,
AMERICATEL PERU ,,2003,115811786,
BELLSOUTH,,2003,505692693,
CONVERGIA PERU ,,2003,6374307,
DIGITAL WAY,,2003,4387690,
GAMACOM  ,,2003,2775045,
GILAT NETWORKS PERU ,,2003,39887255,
IDT PERU ,,2003,20283063,
IMPSAT,,2003,48191887,
INFODUCTOS Y TELECOMUNICACIONES DEL PERU ,,2003,10925976,
MILLICOM PERU ,,2003,15970650,
NEXTEL,,2003,334032458,
RURAL TELECOM ,,2003,1010203,
TELECABLE ,,2003,4627440,
TELEFONICA DEL PERU,,2003,3447128758,
TELEFONICA DEL PERU,,2003,266250000,
TELEFONICA DEL PERU,,2003,957361350,
TELMEX PERU ,,2003,151114000,
TESAM PERU,,2003,7230083,
TIM PERU ,,2003,485320329,
AMERICA MOVIL PERU,,2004,705321000,
AMERICATEL PERU ,,2004,114611000,
BELLSOUTH,,2004,513575085,
BOGA COMUNICACIONES,,2004,11982508,
CABLERAS,,2004,17481838,
CENTURYLINK PERU ,,2004,51589175,
CONVERGIA PERU ,,2004,9831977,
ENTEL PERU ,,2004,339437000,
GAMACOM  ,,2004,4606574,
GILAT NETWORKS PERU ,,2004,42736,
IBASIS PERU,,2004,12742,
IDT PERU ,,2004,44177739,
INFODUCTOS Y TELECOMUNICACIONES DEL PERU ,,2004,9492370,
L.A.&  SISTEMAS ,,2004,2876417,
LAT PERU ,,2004,542292,
MILLICOM PERU ,,2004,10288005,
RADIO TV H.P.CH. ,,2004,767043,
RURAL TELECOM ,,2004,3650114,
STAR GLOBAL COM ,,2004,14028285,
TE.SA.M. PERU  ,,2004,8252911,
TELECABLE SIGLO 21,,2004,6542047,
TELEFONICA DEL PERU,,2004,3459295859,
TELEFONICA DEL PERU,,2004,268796691,
TELEFONICA DEL PERU,,2004,1082415000,
TELMEX PERU ,,2004,157020237,
TERRA NETWORKS PERU ,,2004,4600926,
VELATEL PERU ,,2004,7341942,
WIGO ,,2004,3803766,
AMERICA MOVIL PERU,,2005,930471000,
AMERICATEL PERU ,,2005,115588272,
BOGA COMUNICACIONES,,2005,13313604,
BT LATAM PERU  ,,2005,7938232,
CABLERAS,,2005,29136397,
CENTURYLINK PERU ,,2005,51508261,
CONVERGIA PERU ,,2005,19568481,
ENTEL PERU ,,2005,371333657,
GAMACOM  ,,2005,7686677,
GILAT NETWORKS PERU ,,2005,44695000,
IBASIS PERU,,2005,728217,
IDT PERU ,,2005,47532464,
INFODUCTOS Y TELECOMUNICACIONES DEL PERU ,,2005,8475012,
LAT PERU ,,2005,767605,
MILLICOM PERU ,,2005,10666324,
OPTICAL IP SERVICIOS MULTIMEDIA ,,2005,2785736,
RURAL TELECOM ,,2005,4995806,
SITEL ,,2005,1263028,
STAR GLOBAL COM ,,2005,9406115,
TE.SA.M. PERU  ,,2005,9279005,
TELEFONICA DEL PERU,,2005,3520367371,
TELEFONICA DEL PERU,,2005,211609000,
TELEFONICA DEL PERU,,2005,1502552000,
TELMEX PERU ,,2005,185029000,
VELATEL PERU ,,2005,5513363,
WIGO ,,2005,1979578,
AMERICA MOVIL PERU,,2006,1324609000,
AMERICATEL PERU ,,2006,109572835,
BOGA COMUNICACIONES,,2006,16216371,
BT LATAM PERU  ,,2006,10189601,
CABLERAS,,2006,24712703,
CENTURYLINK PERU ,,2006,67720143,
CONVERGIA PERU ,,2006,18715940,
CYBERLINE S.R.L,,2006,772319,
DIRECTV PERU ,,2006,13088200,
ENTEL PERU ,,2006,471023458,
GAMACOM  ,,2006,9201759,
GILAT NETWORKS PERU ,,2006,48071000,
IDT PERU ,,2006,61223736,
INFODUCTOS Y TELECOMUNICACIONES DEL PERU ,,2006,8462670,
L.A.&  SISTEMAS ,,2006,1090196,
LAT PERU ,,2006,3561209,
MILLICOM PERU ,,2006,6585675,
OPTICAL IP SERVICIOS MULTIMEDIA ,,2006,3845750,
RURAL TELECOM ,,2006,7748822,
STAR GLOBAL COM ,,2006,13939417,
TE.SA.M. PERU  ,,2006,10071,
TELEFONICA DEL PERU,,2006,5901511753,
TELMEX PERU ,,2006,212367000,
TERRA NETWORKS PERU ,,2006,2136590,
WIGO ,,2006,984359,
AMERICA MOVIL PERU,,2007,1803204000,
AMERICATEL PERU ,,2007,113637147,
BOGA COMUNICACIONES,,2007,17440305,
BT LATAM PERU  ,,2007,10362774,
CABLE SISTEMAS ,,2007,128341,
CABLERAS,,2007,33381007,
CATV SYSTEMS ,,2007,3292852,
CENTURYLINK PERU ,,2007,79455000,
CONVERGIA PERU ,,2007,14715329,
CYBERLINE S.R.L,,2007,764311,
DIRECTV PERU ,,2007,42013532,
ENTEL PERU ,,2007,580867587,
GAMACOM  ,,2007,9223475,
GILAT NETWORKS PERU ,,2007,53656,
IBASIS PERU,,2007,1035542,
IDT PERU ,,2007,69824696,
INFODUCTOS Y TELECOMUNICACIONES DEL PERU ,,2007,7547872,
JAIME JULIO PACHECO MATILDE,,2007,120463,
LAT PERU ,,2007,1053001,
MULTIVISION ,,2007,93150,
RADIO TV H.P.CH. ,,2007,1222954,
ROLANDO AZEN CHAVEZ SUING,,2007,107165,
RURAL TELECOM ,,2007,10038949,
STAR GLOBAL COM ,,2007,14705663,
TE.SA.M. PERU  ,,2007,10010889,
TELEFONICA DEL PERU,,2007,6493274000,
TELEVISION MINERA ,,2007,134471,
TELMEX PERU ,,2007,286507496,
TERRA NETWORKS PERU ,,2007,29816000,
TV CABLE CATACAOS ,,2007,201810,
TV CABLE DEL NORTE ,,2007,105263,
TV CABLE OLCARIN ,,2007,33178,
TV CABLE RIOJA ,,2007,434632,
VELATEL PERU ,,2007,5842620,
WIGO ,,2007,702965,
AMERICA MOVIL PERU,,2008,2175415000,
AMERICATEL PERU ,,2008,115604549,
BT LATAM PERU  ,,2008,8472913,
CABLE CLUB ,,2008,1260206,
CABLE SISTEMAS ,,2008,202208,
CABLE ZOFRI ,,2008,3178880,
CABLERAS,,2008,33338429,
CATV SYSTEMS ,,2008,8014443,
CENTURYLINK PERU ,,2008,89408000,
CONVERGIA PERU ,,2008,12577860,
CYBERLINE S.R.L,,2008,36601,
DIRECTV PERU ,,2008,60313972,
ENTEL PERU ,,2008,699818638,
ENTERPRICE TELECOMUNICATION ,,2008,2071241,
GAMACOM  ,,2008,15598983,
GILAT NETWORKS PERU ,,2008,58794395,
IBASIS PERU,,2008,3073687,
IDT PERU ,,2008,54783678,
INFODUCTOS Y TELECOMUNICACIONES DEL PERU ,,2008,7240882,
INTERNEXA PERU ,,2008,899020,
J.R. TELECOM ,,2008,2435370,
JAIME JULIO PACHECO MATILDE,,2008,164495,
OPTICAL IP SERVICIOS MULTIMEDIA ,,2008,5041163,
RED PRIVADA VIRTUAL ,,2008,1463976,
RURAL TELECOM ,,2008,10000601,
SITEL ,,2008,13189429,
SUPER CABLE ,,2008,5706342,
TE.SA.M. PERU  ,,2008,11620288,
TELEFONICA DEL PERU,,2008,6987253000,
TELEVISION MINERA ,,2008,148300,
TELMEX PERU ,,2008,318036000,
TERRA NETWORKS PERU ,,2008,31973000,
TV CABLE CATACAOS ,,2008,229977,
TV CABLE DEL NORTE ,,2008,131011,
VELATEL PERU ,,2008,4859050,
VIP CHANNEL ,,2008,952713,
WIGO ,,2008,766800,
AMERICA MOVIL PERU,,2009,2374780000,
AMERICATEL PERU ,,2009,112416979,
ANTENAS CABLE VISION SATELITE ,,2009,3171799,
BT LATAM PERU  ,,2009,11282555,
CABLE AMERICA ,,2009,1004271,
CABLE CLUB ,,2009,1383222,
CABLE SISTEMAS ,,2009,268456,
CABLE ZOFRI ,,2009,3614679,
CABLERAS,,2009,20267315,
CATV SYSTEMS ,,2009,10523393,
CENTURYLINK PERU ,,2009,107354268,
CONVERGIA PERU ,,2009,10758107,
CYBERLINE S.R.L,,2009,49630,
DIRECTV PERU ,,2009,69751085,
ENTEL PERU ,,2009,800005426,
ENTERPRICE TELECOMUNICATION ,,2009,2071241,
GAMACOM  ,,2009,21371589,
GILAT NETWORKS PERU ,,2009,59568027,
GRUPO CABLE VISION (7 empresas),,2009,17855822,
IBASIS PERU,,2009,3687668,
IDT PERU ,,2009,38619090,
INFODUCTOS Y TELECOMUNICACIONES DEL PERU ,,2009,6441122,
INTERNEXA PERU ,,2009,899020,
J.R. TELECOM ,,2009,2891590,
OPTICAL IP SERVICIOS MULTIMEDIA ,,2009,9463003,
RED PRIVADA VIRTUAL ,,2009,1463976,
RURAL TELECOM ,,2009,8948670,
SITEL ,,2009,24135632,
SUPER CABLE ,,2009,6612498,
TE.SA.M. PERU  ,,2009,8821540,
TELEFONICA DEL PERU,,2009,7274240000,
TELEVISION MINERA ,,2009,193703,
TELMEX PERU ,,2009,391297262,
TERRA NETWORKS PERU ,,2009,22543000,
TV CABLE CATACAOS ,,2009,1766740,
TV CABLE DEL NORTE ,,2009,1089576,
VALTRON ,,2009,2165514,
VELATEL PERU ,,2009,3146319,
VIP CHANNEL ,,2009,1179017,
WIGO ,,2009,1499110,
AMERICA MOVIL PERU,,2010,2865035000,
AMERICATEL PERU ,,2010,110459000,
ANTENAS CABLE VISION SATELITE ,,2010,3171799,
BT LATAM PERU  ,,2010,11282555,
CABLE AMERICA ,,2010,1004271,
CABLE CLUB ,,2010,1383222,
CABLE SISTEMAS ,,2010,268456,
CABLE ZOFRI ,,2010,3614679,
CABLERAS,,2010,47060315,
CATV SYSTEMS ,,2010,10523393,
CENTURYLINK PERU ,,2010,99600834,
COMUNICACIONES PORCON ,,2010,1766740,
CONVERGIA PERU ,,2010,6410037,
CYBERLINE S.R.L,,2010,49630,
DIRECTV PERU ,,2010,88950685,
ENTEL PERU ,,2010,872499000,
ENTERPRICE TELECOMUNICATION ,,2010,2071241,
GAMACOM  ,,2010,21371589,
GILAT NETWORKS PERU ,,2010,55132766,
GRUPO CABLE VISION (7 empresas),,2010,17855822,
IBASIS PERU,,2010,3687668,
IDT PERU ,,2010,38619090,
INFODUCTOS Y TELECOMUNICACIONES DEL PERU ,,2010,6441122,
INTERNEXA PERU ,,2010,899020,
J.R. TELECOM ,,2010,2891590,
OPTICAL IP SERVICIOS MULTIMEDIA ,,2010,8055352,
RED PRIVADA VIRTUAL ,,2010,1463976,
RURAL TELECOM ,,2010,8948670,
SITEL ,,2010,24135632,
SUPER CABLE ,,2010,6612498,
TE.SA.M. PERU  ,,2010,8821540,
TELECABLE PAITA ,,2010,1089576,
TELEFONICA DEL PERU,,2010,7396244000,
TELEVISION MINERA ,,2010,193703,
TELMEX PERU ,,2010,432020644,
TERRA NETWORKS PERU ,,2010,23344000,
VALTRON ,,2010,2165514,
VELATEL PERU ,,2010,3146319,
VIP CHANNEL ,,2010,1179017,
WIGO ,,2010,1499110,
AMERICA MOVIL PERU,,2011,3408046000,
AMERICATEL PERU ,,2011,114722968,
BT LATAM PERU  ,,2011,13634857,
CATV SYSTEMS ,,2011,16781064,
CENTURYLINK PERU ,,2011,90981687,
CONVERGIA PERU ,,2011,5398367,
DIRECTV PERU ,,2011,109165046,
ENTEL PERU ,,2011,963332000,
